"","ensembl_gene_id","go_id"
"341","ENSOARG00000001783","GO:0005667"
"342","ENSOARG00000001783","GO:0042493"
"343","ENSOARG00000001783","GO:0005515"
"344","ENSOARG00000001783","GO:0003677"
"345","ENSOARG00000001783","GO:0001077"
"346","ENSOARG00000001783","GO:0006357"
"347","ENSOARG00000001783","GO:0043565"
"348","ENSOARG00000001783","GO:0006355"
"349","ENSOARG00000001783","GO:0003700"
"350","ENSOARG00000001783","GO:0034614"
"351","ENSOARG00000001783","GO:0070412"
"352","ENSOARG00000001783","GO:0007179"
"353","ENSOARG00000001783","GO:0045893"
"354","ENSOARG00000001783","GO:0060395"
"355","ENSOARG00000001783","GO:0044212"
"356","ENSOARG00000001783","GO:0008134"
"357","ENSOARG00000001783","GO:0045944"
"358","ENSOARG00000001848","GO:0005515"
"359","ENSOARG00000001848","GO:0005622"
"360","ENSOARG00000001848","GO:0031175"
"361","ENSOARG00000001848","GO:0043491"
"362","ENSOARG00000001848","GO:0005154"
"363","ENSOARG00000001848","GO:0021954"
"364","ENSOARG00000001848","GO:0048715"
"365","ENSOARG00000001968","GO:0001527"
"366","ENSOARG00000001968","GO:0060216"
"367","ENSOARG00000001968","GO:0043206"
"368","ENSOARG00000001968","GO:0005578"
"369","ENSOARG00000001968","GO:0005515"
"370","ENSOARG00000001985","GO:0005515"
"371","ENSOARG00000001985","GO:1902430"
"372","ENSOARG00000001985","GO:1902003"
"373","ENSOARG00000001985","GO:0051259"
"374","ENSOARG00000001985","GO:0032281"
"375","ENSOARG00000001985","GO:0097060"
"376","ENSOARG00000001985","GO:0001540"
"377","ENSOARG00000001985","GO:2001223"
"378","ENSOARG00000001985","GO:0005615"
"379","ENSOARG00000002050","GO:0051491"
"380","ENSOARG00000002050","GO:0030879"
"381","ENSOARG00000002050","GO:0043524"
"382","ENSOARG00000002050","GO:0071363"
"383","ENSOARG00000002050","GO:0005578"
"384","ENSOARG00000002050","GO:0009887"
"385","ENSOARG00000002050","GO:0008285"
"386","ENSOARG00000002050","GO:0043065"
"387","ENSOARG00000002050","GO:0001701"
"388","ENSOARG00000002050","GO:0045944"
"389","ENSOARG00000002050","GO:0070483"
"390","ENSOARG00000002050","GO:0060325"
"391","ENSOARG00000002050","GO:0050431"
"392","ENSOARG00000002050","GO:0045740"
"393","ENSOARG00000002050","GO:0045216"
"394","ENSOARG00000002050","GO:0043932"
"395","ENSOARG00000002050","GO:0042802"
"396","ENSOARG00000002050","GO:0034714"
"397","ENSOARG00000002050","GO:0034713"
"398","ENSOARG00000002050","GO:0032967"
"399","ENSOARG00000002050","GO:0032570"
"400","ENSOARG00000002050","GO:0030501"
"401","ENSOARG00000002050","GO:0016049"
"402","ENSOARG00000002050","GO:0010936"
"403","ENSOARG00000002050","GO:0010718"
"404","ENSOARG00000002050","GO:0008156"
"405","ENSOARG00000002050","GO:0007435"
"406","ENSOARG00000002050","GO:0005160"
"407","ENSOARG00000002050","GO:0005114"
"408","ENSOARG00000002050","GO:0001666"
"409","ENSOARG00000002050","GO:0007179"
"410","ENSOARG00000002050","GO:0031012"
"411","ENSOARG00000002050","GO:0045893"
"412","ENSOARG00000002050","GO:0005615"
"413","ENSOARG00000002050","GO:0040007"
"414","ENSOARG00000002050","GO:0008083"
"415","ENSOARG00000002050","GO:0005576"
"416","ENSOARG00000002050","GO:0050714"
"417","ENSOARG00000002050","GO:0005515"
"418","ENSOARG00000002053","GO:0005515"
"419","ENSOARG00000002053","GO:0005509"
"420","ENSOARG00000002053","GO:0048050"
"421","ENSOARG00000002053","GO:0043010"
"422","ENSOARG00000002053","GO:0005006"
"423","ENSOARG00000002053","GO:0032331"
"424","ENSOARG00000002053","GO:0048048"
"425","ENSOARG00000002053","GO:0007173"
"426","ENSOARG00000002053","GO:0070062"
"427","ENSOARG00000002053","GO:0005154"
"428","ENSOARG00000002053","GO:0031012"
"429","ENSOARG00000002053","GO:0018108"
"430","ENSOARG00000002053","GO:0006355"
"431","ENSOARG00000002053","GO:0005615"
"432","ENSOARG00000002079","GO:0043565"
"433","ENSOARG00000002079","GO:0006355"
"434","ENSOARG00000002079","GO:0005634"
"435","ENSOARG00000002079","GO:0005515"
"436","ENSOARG00000002079","GO:0000977"
"437","ENSOARG00000002079","GO:0045586"
"438","ENSOARG00000002307","GO:0005515"
"439","ENSOARG00000002307","GO:0005509"
"440","ENSOARG00000002307","GO:0045746"
"441","ENSOARG00000002307","GO:0005615"
"442","ENSOARG00000002307","GO:0009897"
"443","ENSOARG00000002307","GO:0009791"
"444","ENSOARG00000002307","GO:0010468"
"445","ENSOARG00000002307","GO:0048706"
"446","ENSOARG00000002489","GO:0035023"
"447","ENSOARG00000002489","GO:0005089"
"448","ENSOARG00000002489","GO:0005085"
"449","ENSOARG00000002489","GO:0005515"
"450","ENSOARG00000002489","GO:0035556"
"451","ENSOARG00000002489","GO:0043547"
"452","ENSOARG00000002489","GO:0005622"
"453","ENSOARG00000002489","GO:0030676"
"454","ENSOARG00000002489","GO:0005096"
"455","ENSOARG00000002489","GO:0007186"
"456","ENSOARG00000002489","GO:0005886"
"457","ENSOARG00000002489","GO:0008344"
"458","ENSOARG00000002489","GO:0014065"
"459","ENSOARG00000002489","GO:0048813"
"460","ENSOARG00000002539","GO:0017137"
"461","ENSOARG00000002539","GO:0006886"
"462","ENSOARG00000002539","GO:0005622"
"463","ENSOARG00000002539","GO:0005515"
"464","ENSOARG00000002539","GO:0001750"
"465","ENSOARG00000002539","GO:0045202"
"466","ENSOARG00000002539","GO:0003779"
"467","ENSOARG00000002539","GO:0015629"
"468","ENSOARG00000002539","GO:0051018"
"469","ENSOARG00000002539","GO:0000145"
"470","ENSOARG00000002539","GO:0042470"
"471","ENSOARG00000002639","GO:0001727"
"472","ENSOARG00000002639","GO:0043491"
"473","ENSOARG00000002639","GO:0030139"
"474","ENSOARG00000002639","GO:0005488"
"475","ENSOARG00000002639","GO:0048015"
"476","ENSOARG00000002639","GO:0046854"
"477","ENSOARG00000002639","GO:0035091"
"478","ENSOARG00000002639","GO:0005515"
"479","ENSOARG00000002639","GO:0016773"
"480","ENSOARG00000002639","GO:0016740"
"481","ENSOARG00000002639","GO:0016310"
"482","ENSOARG00000002639","GO:0016301"
"483","ENSOARG00000002639","GO:0016772"
"484","ENSOARG00000002639","GO:0005524"
"485","ENSOARG00000002639","GO:0000166"
"486","ENSOARG00000002674","GO:0005515"
"487","ENSOARG00000002688","GO:0005515"
"488","ENSOARG00000002688","GO:0007165"
"489","ENSOARG00000002688","GO:0072661"
"490","ENSOARG00000002688","GO:0014731"
"491","ENSOARG00000002688","GO:0051117"
"492","ENSOARG00000002688","GO:0006888"
"493","ENSOARG00000002693","GO:0010960"
"494","ENSOARG00000002693","GO:0016323"
"495","ENSOARG00000002693","GO:0015693"
"496","ENSOARG00000002746","GO:0004459"
"497","ENSOARG00000002746","GO:0019752"
"498","ENSOARG00000002746","GO:0016616"
"499","ENSOARG00000002746","GO:0005737"
"500","ENSOARG00000002746","GO:0005975"
"501","ENSOARG00000002746","GO:0003824"
"502","ENSOARG00000002746","GO:0055114"
"503","ENSOARG00000002746","GO:0016491"
"504","ENSOARG00000002746","GO:0005515"
"505","ENSOARG00000002746","GO:0005634"
"506","ENSOARG00000002746","GO:0005739"
"507","ENSOARG00000002778","GO:0043565"
"508","ENSOARG00000002778","GO:0006355"
"509","ENSOARG00000002778","GO:0006351"
"510","ENSOARG00000002778","GO:0005634"
"511","ENSOARG00000002778","GO:0003700"
"512","ENSOARG00000002778","GO:0003677"
"513","ENSOARG00000002790","GO:0005515"
"514","ENSOARG00000002790","GO:0005509"
"515","ENSOARG00000002790","GO:0070100"
"516","ENSOARG00000002790","GO:0061364"
"517","ENSOARG00000002790","GO:0051414"
"518","ENSOARG00000002790","GO:0035385"
"519","ENSOARG00000002790","GO:0048495"
"520","ENSOARG00000002790","GO:0050919"
"521","ENSOARG00000002790","GO:0048846"
